Date,Attendance,Presenters,Theme,Room
2015-11-24,11,"Sonny, Johan",Introduction to the club,Paläontologie seminar room
2015-12-09,9,"Johan, Maren",Web Scraping; Getting help with R,Room 3330
2016-01-07,7,Simon,Code Review: For Loops,Room 3330
2016-01-21,6,Melanie,Code Review: Package Management,Room 3330
2016-02-11,5,Martin,Debugging: ggplot2 layouts,Room 3330
2016-02-25,8,Sascha,Jupyter notebooks,Room 3330
2016-03-03,8,Johan; Sebastian,Basics of GIS with R,Room 3330
2016-03-31,4,Melanie,Rmarkdown and knitr,Room 3330
2016-04-21,8,Johan,package ape,Room 3330
2016-05-04,7,Sebastian,Code Review: looping through files,Room 3330
2016-05-18,6,Neil,time calibration and ancestral character estimation,Room 3330
2016-06-09,8,"Brandon, Johan","bayou, simulated phylogenies and ace",Room 3330
2016-06-23,3,-,cancelled,Room 3330
2016-07-14,4,-,cancelled,Room 3330
2016-08-03,6,Johan,The apply function family,Room 3330
2016-09-28,5,Sebastian; Johan,Writing functions (basis),Room 3330
2016-10-12,6,Johan,Introduction to Python,Room 3330
2016-11-02,5,Melanie,git 101,Room 3330
2016-12-07,6,"Sascha, Falk, Johan","git 102, connecting to databases with R and python",Room 3330
2017-01-11,5,"Falk, Johan",Object Oriented Programming in python and in R,Room 3330
2017-02-01,6,–,Discussion on next meeting and on future of club.,Room 3330
2017-02-15,12,Falko,German law compliant tools & services provided by the MfN and the DFN,Room 3330
2017-03-01,6,Neil,Review of Soul & Friedman 2017 code,Room 3330
2017-03-15,5,"Maren, Neil",Hedman algorithm for time calibration of phylogenies,Room 3330
2017-03-28,1,-,cancelled,Room 3330
2017-04-26,4,"Falk, Johan",Graphical parameters in matplolib,Room 3330
2017-05-10,4,Carolin,gstudio,FB4 seminar room
2017-05-24,4,-,cancelled,Room Z1108
2017-06-01,5,Johan,"Various tips and tricks to write faster, more memory-efficient code (in R mostly)",Room Z1108
2017-06-28,3,-,cancelled,Room Z1108
2017-07-05,5,Carolin,package lme4; model selection.,Zoology seminar room
